Measurement outcome,Frequency
01000110000010,5
01000110000011,1
01000110000100,1
01000110000110,1
01000110001000,2
01000110001100,2
01000110010000,1
01000110010001,1
01000110010010,2
01000110010100,2
01000110011010,1
01000110100000,7
01000110100011,1
01000110100100,3
01000110101010,1
01000110101110,1
01000110110000,2
01000110110100,3
01000110110110,1
01000111000000,2
01000111000010,2
01000111000100,1
01000111000101,1
01000111001010,1
01000111001101,1
01000111010000,1
01000111010101,1
01000111011100,1
01000111100000,3
01000111100010,1
01000111100100,1
01000111100111,1
01000111101001,1
01000111101010,2
01000111101110,1
01000111110000,1
01001000000000,14
01001000000001,1
01001000000010,3
01001000000100,2
01001000000110,2
01001000001000,1
01001000001001,1
01001000001100,1
01001000001110,1
01001000010000,1
01001000010001,1
01001000010010,2
01001000010011,1
01001000010111,1
01001000100000,5
01001000100001,1
01001000100010,1
01001000100111,1
01001000101010,1
01001000101110,1
01001000110000,1
01001001000000,3
01001001000010,1
01001001011110,1
01001001100000,1
01001001101000,1
01001001101100,1
01001001110101,1
01001001110110,1
01001001110111,1
01001010000010,1
01001010001000,1
01001010001110,1
01001010010000,1
01001010011000,1
01001010100000,3
